福州浩威金属制品有限公司	总经理：胡英	地址：福建闽侯县兰圃工业区318号
闽侯县上街祥庆水泥制品厂	厂长：陈祥庆	地址：福建省福州市闽侯县上街镇上街村
福建省闽侯县宏辉鞋业有限公司	null	地址：福建省福州市闽侯县甘蔗镇甘洲路１５号
福建省闽侯白沙汶溪保温材料厂	null	地址：福建省福州市闽侯县白沙镇汶溪村
闽侯县江口江旺纺织厂	null	地址：福建省福州市闽侯县江口村
闽侯县南屿东方织带厂G	null	地址：福建省福州市闽侯县南屿镇江口村后双180号
闽侯县南屿江口英姿线带厂G	null	地址：福建省福州市闽侯县南屿江口村
闽侯县青口沪屿村里劳保服装厂	null	地址：福建省福州市闽侯县青口镇沪屿村
闽侯县第四建筑工程公司水泥制品厂	厂长：江爱涛	地址：福建省福州市闽侯县甘蔗镇校园路２４号
福建省闽侯制鞋厂	null	地址：福建省福州市闽侯县青口镇青圃青长路108号
闽侯县龙飞工艺鞋帽厂	厂长：陈天龙	地址：福建省福州市闽侯县南通镇陈厝村
福建嘉豪制衣有限公司	总经理：李嘉豪	地址：福建省福州市闽侯县上街镇浦口村
闽侯县南屿江口双桥织布厂G	null	地址：福建省福州市闽侯县南屿镇江口后双村
闽侯县闽兴石粉厂	null	地址：福建省福州市闽侯县青口镇青圃新桥外54号
闽侯县青口红旗塑革鞋厂	null	地址：福建省福州市闽侯县青口镇青坛水电站
闽侯县江口汉城纺织厂	null	地址：福建省福州市闽侯县南屿镇江口村
闽侯青口融丰石粉厂	厂长：杨明銮	地址：福建省福州市闽侯县青口镇联丰村
闽侯县南屿江口茂金线带厂	厂长：潘茂金	地址：福建省福州市闽侯县南屿镇江口村九石
闽侯鸿顺制衣有限公司	null	地址：福建省福州市闽侯县甘蔗镇三英村
闽侯县宏辉线业有限公司	null	地址：福建省福州市闽侯县南通镇泮洋村
闽侯县华丽工艺美术厂	null	地址：福建省福州市闽侯县甘蔗镇化龙村
闽侯县富丽华工艺厂G	null	地址：福建省福州市闽侯县南通镇古城村镜口27号
闽侯县南屿江口兆永工艺厂	null	地址：福建省福州市闽侯县南屿镇江口村九石
闽侯县康兴工艺厂	厂长：冯昭为	地址：福建省福州市闽侯县廷坪乡溪坪村
闽侯县南屿江口建国纺织厂G	null	地址：福建省福州市闽侯县南屿镇江口过透
闽侯县宇峰纺织厂	厂长：宇江榕	地址：福建省福州市闽侯县南屿镇江口村九石１０４号
闽侯县南屿江口发利织布厂G	null	地址：福建省福州市闽侯县南屿镇江口九石
福建省闽侯县增宾工艺厂	厂长：林秀清	地址：福建省福州市闽侯县甘蔗镇街心路３０号
闽侯县江口华达纺织厂	null	地址：福建省福州市闽侯县南屿镇江口村
闽侯县江口青顺纺织厂	null	地址：福建省福州市闽侯县南屿镇江口青州
福建省闽侯瀛明服装有限公司	null	地址：福建省福州市闽侯县甘蔗镇
福建省闽侯县南粤厨房设备有限公司	总经理：梁力坚	地址：闽侯县南屿镇南井村
闽侯县南屿江口福兴纺织厂	null	地址：福建省福州市闽侯县南屿镇江口村过透１４号
闽侯县南屿江口标平纺织厂	null	地址：福建省福州市闽侯县南屿镇江口过透
闽侯县鸿尾溪旺工艺厂	null	地址：福建省福州市闽侯县鸿尾乡桥头村桥头街46号
福建省闽侯县江口振兴塑革鞋厂	null	地址：福建省福州市闽侯县南屿镇江口村青洲37号
福建省闽侯县胪峰鞋业有限公司	总经理：陈开兴	地址：福建省福州市闽侯县青口镇傅筑建材市场Ｇ座
闽侯县南屿镇兴华纺织厂G	null	地址：福建省福州市闽侯县南屿镇江口村九石
闽侯县南屿开拓纺织厂	null	地址：福建省福州市闽侯县南屿镇江口村过透６６号
福建省闽侯县荆溪宏达工艺厂	null	地址：福建省福州市闽侯县荆溪镇原屿村７２号
闽侯县江口胜光织布厂	null	地址：福建省福州市闽侯县南屿镇江口村青州
闽侯县江口国利纺织厂G	null	地址：福建省福州市闽侯县南屿镇江口村
闽侯县江口明发纺织厂G	null	地址：福建省福州市闽侯县南屿镇江口村后双113号
福建省闽侯县鸿尾明辉工艺厂	null	地址：福建省福州市闽侯县鸿尾乡超乾村335号
闽侯县江口祥辉棉纺织厂	null	地址：福建省福州市闽侯县南屿镇江口村青洲96号
闽侯县江口永发纺织厂	null	地址：福建省福州市闽侯县南屿镇江口村过透１０４号
福建省闽侯县厚屿旅游工艺厂G	null	地址：福建省福州市闽侯县荆溪镇厚屿村62号
福建省闽侯县闽旺工艺厂	厂长：苏金仙	地址：福建省福州市闽侯县甘蔗镇五福村
福建省闽侯县万安服装厂	厂长：洪建华	地址：福建省福州市闽侯县甘蔗镇山前军民路１６号
闽侯县洋里乡小箬武唐工艺厂G	null	地址：福建省福州市闽侯县洋里乡小箬村
闽侯县百创鞋业有限公司	null	地址：福建省福州市闽侯县荆溪镇光明村
福建省闽侯服装厂	null	地址：福建省福州市闽侯县甘蔗镇墩园洲５５号
福州友联工艺美术品有限公司闽侯分公司	null	地址：福建省福州市闽侯县上街镇岐安村
闽侯县洋里兴盛竹草工艺厂G	null	地址：福建省福州市闽侯县洋里乡洋里村
闽侯县晓峰工艺品厂	null	地址：福建省福州市闽侯县南屿镇晓岐村
闽侯县上街恒辉丝印网版加工场	联系人：张乾明	地址：福建省福州市闽侯县上街镇金屿余盛村
闽侯县江口亨达纺织厂	null	地址：福建省福州市闽侯县南屿镇江口后双１２６号
闽侯县江口新榕纺织厂	null	地址：福建省福州市闽侯县南屿镇江口村九石
闽侯县甘蔗金星工艺厂	null	地址：福建省福州市闽侯县甘蔗镇大元村大元巷
闽侯县小箬金若工艺厂	厂长：李益淦	地址：福建省福州市闽侯县小箬乡青安村
闽侯县尚干双福美术工艺厂	厂长：林建辉	地址：福建省福州市闽侯县尚干镇福厦路西侧
闽侯县竹岐贝莱工艺厂	null	地址：福建省福州市闽侯县竹岐乡竹岐街299号
福建省闽侯县尚干浦里塑料工艺厂	null	地址：福建省福州市闽侯县尚干镇浦里村
福建省闽侯县明榕工艺品有限公司	null	地址：福建省福州市闽侯县青口镇杨厝村阁兜２号
福建省闽侯县上街星良工艺品厂	厂长：王星良	地址：福建省福州市闽侯县上街镇岐安村下长安３５－３号
福建省闽侯日兴工艺厂	厂长：罗华美	地址：福建省福州市闽侯县白沙长坪园
福建省闽侯县青口顺达针织厂	null	地址：福建省福州市闽侯县青口镇工业区
闽侯县甘蔗三源工艺品厂	厂长：陈佑辉	地址：福建省福州市闽侯县甘蔗镇大元巷３８－１号
福建省闽侯县锦锋工艺品厂	厂长：林连正	地址：福建省福州市闽侯县尚干镇五虎路２７号
福建省闽侯县南屿艺馨工艺厂	null	地址：福建省福州市闽侯县南屿镇后山村
福建省闽侯榕兴工艺品有限公司	总经理：方孝秋	地址：福建省福州市闽侯县南通镇方庄
闽侯县兴达彩色包装印刷厂	null	地址：福建省福州市闽侯县青圃村新桥头
闽侯县双华工艺美术厂	厂长：陈忠华	地址：福建省福州市闽侯县甘蔗镇三福小区１座１２６号
福州温雅工艺品有限公司	总经理：张鲁榕	地址：福建省福州市闽侯县鸿尾乡官路村　　　　法定代表人：张鲁榕
闽侯县正茂工艺厂	厂长：胡振光	地址：福建省福州市闽侯县荆溪镇建发建材综合楼１０５号
福建省闽侯县闽隆工艺厂	厂长：李碧仙	地址：福建省福州市闽侯县甘蔗镇长江巷３９号
